"","county_fips","state","county","avg_county_collectivism_score","county_collectivism_score"
"1",1001,"Alabama","Autauga",34.3218569236812,34.9926248375025
"2",1003,"Alabama","Baldwin",34.3218569236812,32.0175086988589
"3",1005,"Alabama","Barbour",34.3218569236812,32.6434118446218
"4",1007,"Alabama","Bibb",34.3218569236812,36.7474914326301
"5",1009,"Alabama","Blount",34.3218569236812,38.7346383728751
"6",1011,"Alabama","Bullock",34.3218569236812,34.695306362291
"7",1013,"Alabama","Butler",34.3218569236812,35.5049707587357
"8",1015,"Alabama","Calhoun",34.3218569236812,35.9751799518766
"9",1017,"Alabama","Chambers",34.3218569236812,39.8157831386821
"10",1019,"Alabama","Cherokee",34.3218569236812,32.071538024072
"11",1021,"Alabama","Chilton",34.3218569236812,40.3852913981638
"12",1023,"Alabama","Choctaw",34.3218569236812,36.4073111236918
"13",1025,"Alabama","Clarke",34.3218569236812,36.1084738635897
"14",1027,"Alabama","Clay",34.3218569236812,37.216842310679
"15",1029,"Alabama","Cleburne",34.3218569236812,38.9017691078054
"16",1031,"Alabama","Coffee",34.3218569236812,34.7742896049112
"17",1033,"Alabama","Colbert",34.3218569236812,32.1936888938557
"18",1035,"Alabama","Conecuh",34.3218569236812,26.6582925221877
"19",1037,"Alabama","Coosa",34.3218569236812,35.7141754740895
"20",1039,"Alabama","Covington",34.3218569236812,33.4040825807601
"21",1041,"Alabama","Crenshaw",34.3218569236812,36.427687849796
"22",1043,"Alabama","Cullman",34.3218569236812,37.8466698128646
"23",1045,"Alabama","Dale",34.3218569236812,31.1931494367188
"24",1047,"Alabama","Dallas",34.3218569236812,27.9787598769138
"25",1049,"Alabama","De Kalb",34.3218569236812,39.0247002596605
"26",1051,"Alabama","Elmore",34.3218569236812,36.1257512841177
"27",1053,"Alabama","Escambia",34.3218569236812,28.8710620961264
"28",1055,"Alabama","Etowah",34.3218569236812,34.8967058678071
"29",1057,"Alabama","Fayette",34.3218569236812,34.3670379835002
"30",1059,"Alabama","Franklin",34.3218569236812,35.0128731758165
"31",1061,"Alabama","Geneva",34.3218569236812,32.7655937220571
"32",1063,"Alabama","Greene",34.3218569236812,19.1207907702511
"33",1065,"Alabama","Hale",34.3218569236812,29.0875206725587
"34",1067,"Alabama","Henry",34.3218569236812,31.2558070377275
"35",1069,"Alabama","Houston",34.3218569236812,36.3894427271242
"36",1071,"Alabama","Jackson",34.3218569236812,34.0748631376742
"37",1073,"Alabama","Jefferson",34.3218569236812,35.8470037899292
"38",1075,"Alabama","Lamar",34.3218569236812,35.5623967911027
"39",1077,"Alabama","Lauderdale",34.3218569236812,36.3029548697919
"40",1079,"Alabama","Lawrence",34.3218569236812,33.9226507548907
"41",1081,"Alabama","Lee",34.3218569236812,34.5159329396648
