"","county_fips","county","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote_reverse","self_employed_reverse","county_collectivism_raw","county_collectivism_score"
"1",1001,"Autauga","Alabama",0.071144599,0.233674083,0.272054868,0.121436256,0.031403417,0.086610081,0.0136801429940583,0.514395034,0.727945132,0.878563744,4.27946474491996,0.986319857005942,0.928855401,1.87984988176751,33.7209864921408
"2",1003,"Baldwin","Alabama",0.140647435,0.210865435,0.283551023,0.131704147,0.037751966,0.084999652,0.0139879438726602,0.536534537,0.716448977,0.868295853,4.74236092795389,0.98601205612734,0.859352565,0.634527737994884,31.0352566426622
"3",1005,"Barbour","Alabama",0.100094652,0.379058547,0.343944099,0.16648181,0.042477322,0.126388077,0.00604868721743677,0.687071324,0.656055901,0.83351819,2.63811489785508,0.993951312782563,0.899905348,0.97453387655842,31.7685324780855
"4",1007,"Bibb","Alabama",0.083474885,0.304868914,0.300304878,0.119456763,0.064062939,0.080197322,0.00832013959119333,0.488359575,0.699695122,0.880543237,3.28009827856703,0.991679860408807,0.916525115,2.84369710436948,35.7996721310527
"5",1009,"Blount","Alabama",0.109953331,0.211325701,0.254092296,0.12424859,0.045938013,0.110977023,0.00813200578787879,0.573189705,0.745907704,0.87575141,4.73203209674908,0.991867994212121,0.890046669,3.75534630414802,37.7657846589173
"6",1011,"Bullock","Alabama",0.075053419,0.27738764,0.317391304,0.140289855,0.044971893,0.098773006,0.00345127385530024,0.472530656,0.682608696,0.859710145,3.60506329698036,0.9965487261447,0.924946581,1.98919569133235,33.9568076458336
"7",1013,"Butler","Alabama",0.060440294,0.30760165,0.317346796,0.154536531,0.04661469,0.097564808,0.00553185155649241,0.611254002,0.682653204,0.845463469,3.25095785409474,0.994468148443508,0.939559706,2.28184289620068,34.5879466145026
"8",1015,"Calhoun","Alabama",0.073319179,0.334123452,0.315552771,0.135457454,0.047207354,0.109857938,0.0130216224195908,0.718398159,0.684447229,0.864542546,2.99290574790302,0.986978377580409,0.926680821,2.43448007692882,34.9171323071138
"9",1017,"Chambers","Alabama",0.074177282,0.296178344,0.280833904,0.128661645,0.067470956,0.103093605,0.00838896584114106,0.557373749,0.719166096,0.871338355,3.37634408544063,0.991611034158859,0.925822718,4.13720841182139,38.5893293666796
"10",1019,"Cherokee","Alabama",0.096131415,0.229219144,0.306191858,0.157747324,0.037459283,0.093085415,0.00823927685265425,0.502623043,0.693808142,0.842252676,4.36263735458326,0.991760723147346,0.903868585,0.780125433406511,31.3492605962076
