county_fips,state,county,self_employed,divorce_marriage,living_alone,living_alone_65over,living_grandchildren,carpool_drive_alone,religious_adherents,libertarian_vote16,county_collectivism_score
1001,Alabama,Autauga,0.071144599,0.233674083,0.272054868,0.121436256,0.031403417,0.086610081,0.514395034,0.014756757,35.00067361
1003,Alabama,Baldwin,0.140647435,0.210865435,0.283551023,0.131704147,0.037751966,0.084999652,0.536534537,0.016770461,32.04565096
1005,Alabama,Barbour,0.100094652,0.379058547,0.343944099,0.16648181,0.042477322,0.126388077,0.687071324,0.005632267,32.70901181
1007,Alabama,Bibb,0.083474885,0.304868914,0.300304878,0.119456763,0.064062939,0.080197322,0.488359575,0.008927929,36.83068977
1009,Alabama,Blount,0.109953331,0.211325701,0.254092296,0.12424859,0.045938013,0.110977023,0.573189705,0.008688254,38.78808177
1011,Alabama,Bullock,0.075053419,0.27738764,0.317391304,0.140289855,0.044971893,0.098773006,0.472530656,0.002783753,34.7452958
1013,Alabama,Butler,0.060440294,0.30760165,0.317346796,0.154536531,0.04661469,0.097564808,0.611254002,0.004845322,35.55980856
1015,Alabama,Calhoun,0.073319179,0.334123452,0.315552771,0.135457454,0.047207354,0.109857938,0.718398159,0.015196492,36.0361998
1017,Alabama,Chambers,0.074177282,0.296178344,0.280833904,0.128661645,0.067470956,0.103093605,0.557373749,0.007552598,39.91600401
1019,Alabama,Cherokee,0.096131415,0.229219144,0.306191858,0.157747324,0.037459283,0.093085415,0.502623043,0.009812429,32.10355932
1021,Alabama,Chilton,0.106917572,0.221179764,0.238379304,0.119130589,0.031350106,0.129901639,0.736681921,0.008745349,40.41378303
1023,Alabama,Choctaw,0.054721977,0.218544367,0.355967865,0.172532517,0.059404776,0.103923097,0.614844058,0.00461402,36.4934287
1025,Alabama,Clarke,0.089401862,0.289276486,0.351612115,0.134709331,0.06111869,0.055890805,0.756746221,0.004684616,36.17964668
1027,Alabama,Clay,0.117715392,0.154251317,0.26071103,0.121969006,0.017773019,0.097334878,0.686639505,0.010162824,37.19788502
1029,Alabama,Cleburne,0.091883345,0.233516484,0.305676098,0.17253949,0.061085271,0.128463476,0.785666844,0.00917899,39.00463693
1031,Alabama,Coffee,0.10750321,0.277392317,0.288120611,0.130383539,0.033710571,0.105585901,0.693388198,0.013309582,34.80290822
1033,Alabama,Colbert,0.090663957,0.300150247,0.294335081,0.132596923,0.025841459,0.090934449,0.603054502,0.013747646,32.19769757
1035,Alabama,Conecuh,0.077987756,0.249202128,0.400853357,0.188636874,0.033389853,0.103147398,0.434853842,0.004832291,26.69203076
1037,Alabama,Coosa,0.073164426,0.265114091,0.275568892,0.134783696,0.022294725,0.15323646,0.4718398,0.006450043,35.73364953
1039,Alabama,Covington,0.08952949,0.3196767,0.313512752,0.166478794,0.054424272,0.091375613,0.578466862,0.007875032,33.47759843
1041,Alabama,Crenshaw,0.121784879,0.292662819,0.33994627,0.140731556,0.058590467,0.160833954,0.609519479,0.007077526,36.54080002
1043,Alabama,Cullman,0.115517241,0.253133347,0.25248893,0.125976998,0.041960659,0.128479072,0.626101109,0.012112984,37.9013482
1045,Alabama,Dale,0.090091085,0.308222446,0.323041237,0.135721649,0.031190895,0.111030126,0.503527551,0.01285961,31.21914243
1047,Alabama,Dallas,0.091023052,0.375711941,0.402358842,0.18409815,0.051511335,0.084765178,0.551115387,0.003062885,28.04982342
1049,Alabama,DeKalb,0.120965387,0.212822165,0.26597898,0.127286882,0.045332606,0.14884637,0.632136074,0.012250869,39.09503085
1051,Alabama,Elmore,0.06710828,0.231434593,0.240243599,0.104990057,0.031054545,0.064468843,0.461847983,0.014066789,36.11971926
1053,Alabama,Escambia,0.076133909,0.357678215,0.366687145,0.17232376,0.036540962,0.070300429,0.655222135,0.00842551,28.89809746
1055,Alabama,Etowah,0.09148917,0.309169952,0.302879534,0.148642726,0.041659117,0.081250974,0.810646197,0.01241728,34.93537887
1057,Alabama,Fayette,0.10292249,0.252316465,0.299365131,0.164251994,0.051306413,0.09689781,0.603333129,0.008993399,34.43424806
1059,Alabama,Franklin,0.09993318,0.255798865,0.304653439,0.135688228,0.023646032,0.179741807,0.625291938,0.014896414,35.05032225
1061,Alabama,Geneva,0.11046832,0.287212479,0.288422673,0.148686363,0.041597242,0.081182393,0.576503245,0.00920037,32.80378206
1063,Alabama,Greene,0.119320594,0.400948367,0.478064067,0.269498607,0.034136546,0.235792019,0.276196636,0.001478449,19.23242128
1065,Alabama,Hale,0.100681023,0.26681128,0.370164723,0.198593374,0.04573873,0.10798626,0.539330402,0.003961558,29.15402054
1067,Alabama,Henry,0.092337112,0.232274843,0.322913551,0.180676039,0.036316695,0.084024235,0.615362184,0.007687109,31.28495709
1069,Alabama,Houston,0.104795659,0.290948595,0.312591772,0.128734083,0.043551363,0.09532619,0.841803325,0.012831283,36.43730433
1071,Alabama,Jackson,0.079294291,0.279556871,0.294242864,0.139767779,0.040816327,0.100093765,0.538732193,0.01319673,34.11542183
1073,Alabama,Jefferson,0.079388033,0.298180177,0.336591496,0.124968961,0.038414654,0.105150408,0.799448957,0.013207879,35.88591985
1075,Alabama,Lamar,0.073592269,0.227409136,0.26876935,0.169311146,0.024208566,0.104226599,0.695963355,0.00600717,35.56808509
1077,Alabama,Lauderdale,0.077103556,0.243737982,0.293668436,0.131051076,0.038330145,0.116135174,0.662626651,0.017549163,36.34263568
1079,Alabama,Lawrence,0.109786065,0.202569304,0.295424429,0.150596305,0.034455278,0.076510721,0.696005805,0.011322814,33.93999346
1081,Alabama,Lee,0.080470218,0.188950943,0.297824019,0.083310315,0.032182643,0.098303938,0.357906578,0.021814587,34.5249188
1083,Alabama,Limestone,0.096880848,0.231201019,0.244114902,0.107228041,0.033810905,0.076173249,0.522960317,0.018451798,35.32362941
1085,Alabama,Lowndes,0.085859941,0.405465288,0.383154211,0.19420145,0.04365514,0.083627043,0.516923674,0.002840909,26.86874046
1087,Alabama,Macon,0.084558824,0.327511814,0.355910812,0.148366288,0.044473512,0.124976003,0.596252304,0.004415152,33.7767719
1089,Alabama,Madison,0.080923897,0.219824027,0.305635806,0.101467077,0.02643936,0.07821583,0.638830564,0.027173779,33.1410301
1091,Alabama,Marengo,0.081718729,0.327538248,0.415367936,0.156389755,0.046477132,0.078075207,0.871500285,0.006066616,32.27905718
1093,Alabama,Marion,0.100319986,0.296571198,0.311218007,0.15347613,0.027022781,0.104116476,0.559694625,0.009699893,30.69850061
1095,Alabama,Marshall,0.1039165,0.240474842,0.259059282,0.11850821,0.035006862,0.114934799,0.646365201,0.013095376,37.48175132
1097,Alabama,Mobile,0.088825735,0.279152593,0.322953542,0.115259547,0.042774972,0.082480479,0.729747908,0.011547146,35.99960177
1099,Alabama,Monroe,0.080064309,0.284053395,0.370101398,0.167169087,0.043577083,0.044693732,0.656837953,0.005277361,30.08658239
1101,Alabama,Montgomery,0.079293632,0.348737198,0.347254266,0.127985644,0.039505571,0.111547134,0.737846904,0.009677945,35.00205237
1103,Alabama,Morgan,0.087853046,0.227688481,0.295329556,0.144133822,0.043808834,0.089088592,0.689663834,0.01517021,35.66338493
1105,Alabama,Perry,0.129943503,0.337595908,0.387317073,0.144065041,0.049469257,0.0697419,0.549054165,0.002477647,28.92286151
1107,Alabama,Pickens,0.099208063,0.326011056,0.324862346,0.134971057,0.033088235,0.045231238,0.696281964,0.003387487,32.01709345
1109,Alabama,Pike,0.096568236,0.303745086,0.361703901,0.127375792,0.030963777,0.091369656,0.488412251,0.013100214,28.89365353
1111,Alabama,Randolph,0.082665738,0.2375971,0.287661817,0.138389277,0.024179377,0.077570487,0.495925707,0.008267218,32.35270135
1113,Alabama,Russell,0.087010401,0.293085704,0.327934532,0.107833944,0.032855773,0.084659323,0.61037798,0.008835367,34.0542715
1115,Alabama,St.,0.072798584,0.228318027,0.233790413,0.108103316,0.043526161,0.075398633,0.520685378,0.011372214,39.10803374
1117,Alabama,Shelby,0.09651935,0.177783906,0.245153743,0.098464954,0.031555125,0.084049741,0.440589354,0.019048233,36.20321883
1119,Alabama,Sumter,0.092114445,0.269306375,0.322217591,0.141934139,0.042777527,0.115554249,0.405751316,0.00503178,33.07347833
1121,Alabama,Talladega,0.07048266,0.276057426,0.279736704,0.11449674,0.03939603,0.115646259,0.564267368,0.00751591,38.29285381
1123,Alabama,Tallapoosa,0.109615385,0.270706825,0.306728312,0.160846818,0.041400338,0.127789833,0.731088572,0.007838783,35.36147107
1125,Alabama,Tuscaloosa,0.084386421,0.216083925,0.296909479,0.096892959,0.034384505,0.12395747,0.49214662,0.014482444,36.8586468
1127,Alabama,Walker,0.076696165,0.27554836,0.291245246,0.147665669,0.045814808,0.117605667,0.666401396,0.01062811,37.11515527
1129,Alabama,Washington,0.07073955,0.187576127,0.239375227,0.116600073,0.036143352,0.047140163,0.655315831,0.005900897,39.88310352
1131,Alabama,Wilcox,0.063378176,0.273641102,0.330539257,0.151718357,0.053480081,0.090976331,0.531415094,0.002140703,35.62045362
1133,Alabama,Winston,0.130973089,0.257541029,0.249478194,0.119301329,0.026178344,0.257023061,0.582327952,0.008350331,40.80932426
4001,Arizona,Apache,0.050926434,0.230473965,0.322450217,0.125846558,0.083062277,0.055700909,0.384907832,0.044141571,32.63455241
4003,Arizona,Cochise,0.098665158,0.268432882,0.337620773,0.182266506,0.033878476,0.11274387,0.454016437,0.047862872,22.15118027
4005,Arizona,Coconino,0.085438893,0.219404539,0.270055584,0.086646279,0.056378215,0.163199178,0.324436082,0.049812659,35.09651517
4007,Arizona,Gila,0.121549326,0.290550694,0.330368935,0.199700625,0.033319822,0.19662672,0.330586424,0.035665112,23.86207877
4009,Arizona,Graham,0.081271331,0.297232898,0.218006324,0.090031619,0.057601643,0.123686268,0.456777308,0.040469017,37.57532124
4011,Arizona,Greenlee,0.045564127,0.241129032,0.298728814,0.118038741,0.058156819,0.150426847,0.290494615,0.060606061,30.92575767
4012,Arizona,La,0.106822755,0.250534524,0.342049153,0.202109752,0.037895422,0.145441389,0.306094099,0.035456226,22.80644853
4013,Arizona,Maricopa,0.098794787,0.240893075,0.260687697,0.100242561,0.0369098,0.142551445,0.472375043,0.042761542,33.24362351
4015,Arizona,Mohave,0.107849469,0.299066633,0.309712196,0.179018378,0.026772812,0.147049121,0.256279687,0.03301102,23.27412769
