"","county_fips","county","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote","religious_adherents"
"1",1001,"Autauga","Alabama",0.071144599,0.233674083,0.272054868,0.121436256,0.031403417,0.086610081,0.0126035289881167,0.514395034
"2",1003,"Baldwin","Alabama",0.140647435,0.210865435,0.283551023,0.131704147,0.037751966,0.084999652,0.0112054267453204,0.536534537
"3",1005,"Barbour","Alabama",0.100094652,0.379058547,0.343944099,0.16648181,0.042477322,0.126388077,0.00646510743487355,0.687071324
"4",1007,"Bibb","Alabama",0.083474885,0.304868914,0.300304878,0.119456763,0.064062939,0.080197322,0.00771235018238666,0.488359575
"5",1009,"Blount","Alabama",0.109953331,0.211325701,0.254092296,0.12424859,0.045938013,0.110977023,0.00757575757575758,0.573189705
"6",1011,"Bullock","Alabama",0.075053419,0.27738764,0.317391304,0.140289855,0.044971893,0.098773006,0.00411879471060048,0.472530656
"7",1013,"Butler","Alabama",0.060440294,0.30760165,0.317346796,0.154536531,0.04661469,0.097564808,0.00621838111298482,0.611254002
"8",1015,"Calhoun","Alabama",0.073319179,0.334123452,0.315552771,0.135457454,0.047207354,0.109857938,0.0108467528391817,0.718398159
"9",1017,"Chambers","Alabama",0.074177282,0.296178344,0.280833904,0.128661645,0.067470956,0.103093605,0.00922533368228213,0.557373749
"10",1019,"Cherokee","Alabama",0.096131415,0.229219144,0.306191858,0.157747324,0.037459283,0.093085415,0.00666612470530851,0.502623043
"11",1021,"Chilton","Alabama",0.106917572,0.221179764,0.238379304,0.119130589,0.031350106,0.129901639,0.00636975660279648,0.736681921
"12",1023,"Choctaw","Alabama",0.054721977,0.218544367,0.355967865,0.172532517,0.059404776,0.103923097,0.00509110396570204,0.614844058
"13",1025,"Clarke","Alabama",0.089401862,0.289276486,0.351612115,0.134709331,0.06111869,0.055890805,0.00373049105443472,0.756746221
"14",1027,"Clay","Alabama",0.117715392,0.154251317,0.26071103,0.121969006,0.017773019,0.097334878,0.00764790764790765,0.686639505
"15",1029,"Cleburne","Alabama",0.091883345,0.233516484,0.305676098,0.17253949,0.061085271,0.128463476,0.008302200083022,0.785666844
"16",1031,"Coffee","Alabama",0.10750321,0.277392317,0.288120611,0.130383539,0.033710571,0.105585901,0.0118518518518519,0.693388198
"17",1033,"Colbert","Alabama",0.090663957,0.300150247,0.294335081,0.132596923,0.025841459,0.090934449,0.0097181381338306,0.603054502
"18",1035,"Conecuh","Alabama",0.077987756,0.249202128,0.400853357,0.188636874,0.033389853,0.103147398,0.00496817264399938,0.434853842
"19",1037,"Coosa","Alabama",0.073164426,0.265114091,0.275568892,0.134783696,0.022294725,0.15323646,0.00839569264464318,0.4718398
"20",1039,"Covington","Alabama",0.08952949,0.3196767,0.313512752,0.166478794,0.054424272,0.091375613,0.00556511761331038,0.578466862
"21",1041,"Crenshaw","Alabama",0.121784879,0.292662819,0.33994627,0.140731556,0.058590467,0.160833954,0.00664953906604201,0.609519479
"22",1043,"Cullman","Alabama",0.115517241,0.253133347,0.25248893,0.125976998,0.041960659,0.128479072,0.0099878139112566,0.626101109
"23",1045,"Dale","Alabama",0.090091085,0.308222446,0.323041237,0.135721649,0.031190895,0.111030126,0.0118046407944067,0.503527551
"24",1047,"Dallas","Alabama",0.091023052,0.375711941,0.402358842,0.18409815,0.051511335,0.084765178,0.00503806538289297,0.551115387
"25",1049,"De Kalb","Alabama",0.120965387,0.212822165,0.26597898,0.127286882,0.045332606,0.14884637,0.00851614661398011,0.632136074
"26",1051,"Elmore","Alabama",0.06710828,0.231434593,0.240243599,0.104990057,0.031054545,0.064468843,0.00970021935169388,0.461847983
"27",1053,"Escambia","Alabama",0.076133909,0.357678215,0.366687145,0.17232376,0.036540962,0.070300429,0.00590823381521056,0.655222135
"28",1055,"Etowah","Alabama",0.09148917,0.309169952,0.302879534,0.148642726,0.041659117,0.081250974,0.0111255447536038,0.810646197
"29",1057,"Fayette","Alabama",0.10292249,0.252316465,0.299365131,0.164251994,0.051306413,0.09689781,0.00638831850330824,0.603333129
"30",1059,"Franklin","Alabama",0.09993318,0.255798865,0.304653439,0.135688228,0.023646032,0.179741807,0.00842741294323422,0.625291938
"31",1061,"Geneva","Alabama",0.11046832,0.287212479,0.288422673,0.148686363,0.041597242,0.081182393,0.00717417297728179,0.576503245
"32",1063,"Greene","Alabama",0.119320594,0.400948367,0.478064067,0.269498607,0.034136546,0.235792019,0.00167539267015707,0.276196636
"33",1065,"Hale","Alabama",0.100681023,0.26681128,0.370164723,0.198593374,0.04573873,0.10798626,0.00468354430379747,0.539330402
"34",1067,"Henry","Alabama",0.092337112,0.232274843,0.322913551,0.180676039,0.036316695,0.084024235,0.00742095074209507,0.615362184
"35",1069,"Houston","Alabama",0.104795659,0.290948595,0.312591772,0.128734083,0.043551363,0.09532619,0.0115435427630867,0.841803325
"36",1071,"Jackson","Alabama",0.079294291,0.279556871,0.294242864,0.139767779,0.040816327,0.100093765,0.00880013538669826,0.538732193
"37",1073,"Jefferson","Alabama",0.079388033,0.298180177,0.336591496,0.124968961,0.038414654,0.105150408,0.0109805799022857,0.799448957
"38",1075,"Lamar","Alabama",0.073592269,0.227409136,0.26876935,0.169311146,0.024208566,0.104226599,0.00458779368830808,0.695963355
"39",1077,"Lauderdale","Alabama",0.077103556,0.243737982,0.293668436,0.131051076,0.038330145,0.116135174,0.0121112339024335,0.662626651
"40",1079,"Lawrence","Alabama",0.109786065,0.202569304,0.295424429,0.150596305,0.034455278,0.076510721,0.00785977169234608,0.696005805
"41",1081,"Lee","Alabama",0.080470218,0.188950943,0.297824019,0.083310315,0.032182643,0.098303938,0.0142619210905681,0.357906578
"42",1083,"Limestone","Alabama",0.096880848,0.231201019,0.244114902,0.107228041,0.033810905,0.076173249,0.0151924443993094,0.522960317
"43",1085,"Lowndes","Alabama",0.085859941,0.405465288,0.383154211,0.19420145,0.04365514,0.083627043,0.000877834674469642,0.516923674
"44",1087,"Macon","Alabama",0.084558824,0.327511814,0.355910812,0.148366288,0.044473512,0.124976003,0.00596125186289121,0.596252304
"45",1089,"Madison","Alabama",0.080923897,0.219824027,0.305635806,0.101467077,0.02643936,0.07821583,0.0189919236831701,0.638830564
"46",1091,"Marengo","Alabama",0.081718729,0.327538248,0.415367936,0.156389755,0.046477132,0.078075207,0.00541284403669725,0.871500285
"47",1093,"Marion","Alabama",0.100319986,0.296571198,0.311218007,0.15347613,0.027022781,0.104116476,0.00832910842326356,0.559694625
"48",1095,"Marshall","Alabama",0.1039165,0.240474842,0.259059282,0.11850821,0.035006862,0.114934799,0.0109696129113605,0.646365201
"49",1097,"Mobile","Alabama",0.088825735,0.279152593,0.322953542,0.115259547,0.042774972,0.082480479,0.0105806817933655,0.729747908
"50",1099,"Monroe","Alabama",0.080064309,0.284053395,0.370101398,0.167169087,0.043577083,0.044693732,0.00496812898387702,0.656837953
"51",1101,"Montgomery","Alabama",0.079293632,0.348737198,0.347254266,0.127985644,0.039505571,0.111547134,0.00931016048174785,0.737846904
