county_fips,State Name,County Name,2020 Population,Adherents,religious_adherents
1001,Alabama,Autauga County,58805,30249,0.514395034
1003,Alabama,Baldwin County,231767,124351,0.536534537
1005,Alabama,Barbour County,25223,17330,0.687071324
1007,Alabama,Bibb County,22293,10887,0.488359575
1009,Alabama,Blount County,59134,33895,0.573189705
1011,Alabama,Bullock County,10357,4894,0.472530656
1013,Alabama,Butler County,19051,11645,0.611254002
1015,Alabama,Calhoun County,116441,83651,0.718398159
1017,Alabama,Chambers County,34772,19381,0.557373749
1019,Alabama,Cherokee County,24971,12551,0.502623043
1021,Alabama,Chilton County,45014,33161,0.736681921
1023,Alabama,Choctaw County,12665,7787,0.614844058
1025,Alabama,Clarke County,23087,17471,0.756746221
1027,Alabama,Clay County,14236,9775,0.686639505
1029,Alabama,Cleburne County,15056,11829,0.785666844
1031,Alabama,Coffee County,53465,37072,0.693388198
1033,Alabama,Colbert County,57227,34511,0.603054502
1035,Alabama,Conecuh County,11597,5043,0.434853842
1037,Alabama,Coosa County,10387,4901,0.4718398
1039,Alabama,Covington County,37570,21733,0.578466862
1041,Alabama,Crenshaw County,13194,8042,0.609519479
1043,Alabama,Cullman County,87866,55013,0.626101109
1045,Alabama,Dale County,49326,24837,0.503527551
1047,Alabama,Dallas County,38462,21197,0.551115387
1049,Alabama,DeKalb County,71608,45266,0.632136074
1051,Alabama,Elmore County,87977,40632,0.461847983
1053,Alabama,Escambia County,36757,24084,0.655222135
1055,Alabama,Etowah County,103436,83850,0.810646197
1057,Alabama,Fayette County,16321,9847,0.603333129
1059,Alabama,Franklin County,32113,20080,0.625291938
1061,Alabama,Geneva County,26659,15369,0.576503245
1063,Alabama,Greene County,7730,2135,0.276196636
1065,Alabama,Hale County,14785,7974,0.539330402
1067,Alabama,Henry County,17146,10551,0.615362184
1069,Alabama,Houston County,107202,90243,0.841803325
1071,Alabama,Jackson County,52579,28326,0.538732193
1073,Alabama,Jefferson County,674721,539405,0.799448957
1075,Alabama,Lamar County,13972,9724,0.695963355
1077,Alabama,Lauderdale County,93564,61998,0.662626651
1079,Alabama,Lawrence County,33073,23019,0.696005805
1081,Alabama,Lee County,174241,62362,0.357906578
1083,Alabama,Limestone County,103570,54163,0.522960317
1085,Alabama,Lowndes County,10311,5330,0.516923674
1087,Alabama,Macon County,19532,11646,0.596252304
1089,Alabama,Madison County,388153,247964,0.638830564
1091,Alabama,Marengo County,19323,16840,0.871500285
1093,Alabama,Marion County,29341,16422,0.559694625
1095,Alabama,Marshall County,97612,63093,0.646365201
1097,Alabama,Mobile County,414809,302706,0.729747908
1099,Alabama,Monroe County,19772,12987,0.656837953
1101,Alabama,Montgomery County,228954,168933,0.737846904
1103,Alabama,Morgan County,123421,85119,0.689663834
1105,Alabama,Perry County,8511,4673,0.549054165
1107,Alabama,Pickens County,19123,13315,0.696281964
1109,Alabama,Pike County,33009,16122,0.488412251
1111,Alabama,Randolph County,21967,10894,0.495925707
1113,Alabama,Russell County,59183,36124,0.61037798
1117,Alabama,Shelby County,223024,98262,0.440589354
1115,Alabama,St. Clair County,91103,47436,0.520685378
1119,Alabama,Sumter County,12345,5009,0.405751316
1121,Alabama,Talladega County,82149,46354,0.564267368
1123,Alabama,Tallapoosa County,41311,30202,0.731088572
1125,Alabama,Tuscaloosa County,227036,111735,0.49214662
1127,Alabama,Walker County,65342,43544,0.666401396
1129,Alabama,Washington County,15388,10084,0.655315831
1131,Alabama,Wilcox County,10600,5633,0.531415094
1133,Alabama,Winston County,23540,13708,0.582327952
2013,Alaska,Aleutians East Borough,3420,1425,0.416666667
2016,Alaska,Aleutians West Census Area,5232,985,0.188264526
2020,Alaska,Anchorage Municipality,291247,109633,0.376426195
2050,Alaska,Bethel Census Area,18666,7216,0.386585235
2060,Alaska,Bristol Bay Borough,844,225,0.266587678
2063,Alaska,Chugach Census Area,7102,2573,0.362292312
2066,Alaska,Copper River Census Area,2617,866,0.330913259
2068,Alaska,Denali Borough,1619,612,0.378011118
2070,Alaska,Dillingham Census Area,4857,1723,0.354745728
2090,Alaska,Fairbanks North Star Borough,95655,28903,0.3021588
2100,Alaska,Haines Borough,2080,640,0.307692308
2105,Alaska,Hoonah-Angoon Census Area,2365,455,0.192389006
2110,Alaska,Juneau City and Borough,32255,10531,0.326492017
2122,Alaska,Kenai Peninsula Borough,58799,25268,0.4297352
2130,Alaska,Ketchikan Gateway Borough,13948,4385,0.31438199
2150,Alaska,Kodiak Island Borough,13101,4332,0.330661782
2158,Alaska,Kusilvak Census Area,8368,5649,0.675071702
2164,Alaska,Lake and Peninsula Borough,1476,663,0.449186992
2170,Alaska,Matanuska-Susitna Borough,107081,32707,0.305441675
2180,Alaska,Nome Census Area,10046,3433,0.341728051
2185,Alaska,North Slope Borough,11031,1604,0.145408395
2188,Alaska,Northwest Arctic Borough,7793,1419,0.182086488
2195,Alaska,Petersburg Borough,3398,1184,0.348440259
2198,Alaska,Prince of Wales-Hyder Census Area,5753,1814,0.315313749
2220,Alaska,Sitka City and Borough,8458,2340,0.276661149
2230,Alaska,Skagway Municipality,1240,275,0.221774194
2240,Alaska,Southeast Fairbanks Census Area,6808,2253,0.330934195
2275,Alaska,Wrangell City and Borough,2127,784,0.368594264
2282,Alaska,Yakutat City and Borough,662,406,0.613293051
2290,Alaska,Yukon-Koyukuk Census Area,5343,3717,0.695676586
4001,Arizona,Apache County,66021,25412,0.384907832
4003,Arizona,Cochise County,125447,56955,0.454016437
4005,Arizona,Coconino County,145101,47076,0.324436082
4007,Arizona,Gila County,53272,17611,0.330586424
4009,Arizona,Graham County,38533,17601,0.456777308
4011,Arizona,Greenlee County,9563,2778,0.290494615
4012,Arizona,La Paz County,16557,5068,0.306094099
4013,Arizona,Maricopa County,4420568,2088166,0.472375043
4015,Arizona,Mohave County,213267,54656,0.256279687
4017,Arizona,Navajo County,106717,48153,0.451221455
4019,Arizona,Pima County,1043433,405288,0.388417848
4021,Arizona,Pinal County,425264,170557,0.401061458
4023,Arizona,Santa Cruz County,47669,42058,0.882292475
4025,Arizona,Yavapai County,236209,98175,0.415627686
4027,Arizona,Yuma County,203881,71453,0.350464241
5001,Arkansas,Arkansas County,17149,11556,0.673858534
5003,Arkansas,Ashley County,19062,16676,0.874829504
5005,Arkansas,Baxter County,41627,20363,0.489177697
5007,Arkansas,Benton County,284333,138790,0.48812484
5009,Arkansas,Boone County,37373,24564,0.657265941
5011,Arkansas,Bradley County,10545,8153,0.773162636
5013,Arkansas,Calhoun County,4739,4321,0.911795737
5015,Arkansas,Carroll County,28260,12385,0.438251946
5017,Arkansas,Chicot County,10208,5683,0.556720219
5019,Arkansas,Clark County,21446,16891,0.78760608
5021,Arkansas,Clay County,14552,7559,0.519447499
5023,Arkansas,Cleburne County,24711,15665,0.63392821
5025,Arkansas,Cleveland County,7550,4866,0.644503311
5027,Arkansas,Columbia County,22801,18864,0.827332135
5029,Arkansas,Conway County,20715,10617,0.512527154
5031,Arkansas,Craighead County,111231,67207,0.604211056
5033,Arkansas,Crawford County,60133,31726,0.52759716
5035,Arkansas,Crittenden County,48163,31727,0.658742188
5037,Arkansas,Cross County,16833,9769,0.580348126
5039,Arkansas,Dallas County,6482,4349,0.670934897
5041,Arkansas,Desha County,11395,7598,0.666783677
5043,Arkansas,Drew County,17350,13944,0.803688761
5045,Arkansas,Faulkner County,123498,68102,0.551442129
5047,Arkansas,Franklin County,17097,8104,0.474001287
5049,Arkansas,Fulton County,12075,5129,0.424761905
5051,Arkansas,Garland County,100180,51165,0.510730685
5053,Arkansas,Grant County,17958,9002,0.501280766
5055,Arkansas,Greene County,45736,21376,0.467377995
5057,Arkansas,Hempstead County,20065,12677,0.631796661
5059,Arkansas,Hot Spring County,33040,16719,0.506023002
5061,Arkansas,Howard County,12785,7785,0.608916699
5063,Arkansas,Independence County,37938,27735,0.731061205
5065,Arkansas,Izard County,13577,6720,0.494954703
